zone_id,entry_date,r_multiple,outcome,type,structure,width_atr,base_length,base_wick_frac,avg_atr,departure_body_atr,departure_close_ratio,leg_out_clear_atr,leg_out_disp_atr,leg_out_candles,leg_out_velocity,leg_out_vol_exp,leg_in_disp_atr,leg_in_candles,leg_in_velocity,disp_base_ratio,arrival_cleanliness,departure_volume_ratio,base_volume_ratio,trend_score,trend_aligned,weekly_trend_align,weekly_in_zone,weekly_dist_atr,weekly_zone_strength,weekly_zone_fresh,weekly_confluence_score,weekly_confirmed,freshness_score,strength_pit,symbol,label,is_demand,struct_DBD,struct_DBR,struct_RBD,struct_RBR
Z0042,2024-11-28,2.0,win,demand,DBR,1.167,2,0.8983,37.8416,1.2097,0.8526,1.4446,0.559,4,0.1397,1.389,1.2473,3,0.4158,0.479,0.6667,1.244905954618785,1.0246,1.0,1,0,0,7.5269,0.669,0,0.2088,0,0.45,0.8922,INFY.NS,1,1,0,1,0,0
Z0097,2024-12-13,-1.0,loss,demand,DBR,0.9973,1,0.3015,26.5422,1.3447,0.9256,1.933,1.1318,3,0.3773,1.5641,0.4464,3,0.1488,1.1348,0.6667,1.417580394373259,1.361,0.0,0,0,0,1.7338,0.8702,0,0.2823,0,0.65,0.4438,RELIANCE.NS,0,1,0,1,0,0
Z0080,2024-12-23,2.0,win,demand,DBR,1.3412,2,0.7448,82.4252,1.9723,0.9485,2.5057,1.2281,3,0.4094,1.6614,1.8019,3,0.6006,0.9157,0.6667,1.4697986583552434,1.0195,1.0,1,0,0,1.7819,0.6069,0,0.2236,0,0.45,0.5482,TCS.NS,1,1,0,1,0,0
Z0098,2024-12-24,-0.3393,timeout,supply,DBD,1.4755,3,0.3446,23.4503,0.7906,0.9,1.002,0.0,1,0.0,1.9654,0.0719,3,0.024,0.0,0.6667,1.2876465773216157,0.9252,1.0,1,0,1,0.0,0.5888,0,0.7428,1,0.65,0.8313,RELIANCE.NS,0,0,1,0,0,0
Z0081,2025-01-10,1.2928,timeout,supply,DBD,1.2145,2,0.7348,78.6454,1.8896,0.9224,1.2348,0.1429,2,0.0714,1.8608,1.2675,3,0.4225,0.1177,0.6667,1.7128448500615006,0.9803,0.2998,0,0,1,0.0,0.5836,0,0.7417,1,0.45,0.8048,TCS.NS,1,0,1,0,0,0
Z0059,2025-01-14,-1.0,loss,supply,DBD,1.0899,3,0.8314,1.6462,1.1625,0.9412,1.3381,0.6418,2,0.3209,1.4837,1.0233,3,0.3411,0.5889,0.3333,0.8265916832993654,0.6971,1.0,1,0,1,0.0,0.6502,0,0.8182,1,0.85,0.999,IDFCFIRSTB.NS,0,0,1,0,0,0
Z0045,2025-01-27,2.0,win,demand,RBR,1.0829,3,0.7879,1.3346,1.1576,0.9474,1.4936,0.8962,4,0.224,1.3797,1.867,3,0.6223,0.8276,1.0,1.8048175538246352,1.1308,1.0,1,0,1,0.0,0.6675,0,0.816,1,0.45,0.9739,IDFCFIRSTB.NS,1,1,0,0,0,1
Z0099,2025-01-31,-1.0,loss,supply,DBD,0.8527,2,0.7479,24.7668,0.7886,0.9051,1.291,0.6785,2,0.3393,1.5418,1.9435,3,0.6478,0.7957,1.0,1.0991778462847963,0.7523,1.0,1,0,1,0.0,0.5888,0,0.7428,1,0.85,0.9822,RELIANCE.NS,0,0,1,0,0,0
Z0061,2025-02-17,2.0,win,demand,DBR,1.0114,1,0.7762,2.0695,0.7465,0.9182,1.8735,1.6472,3,0.5491,1.8437,2.909,3,0.9697,1.6286,0.6667,1.985813148861674,2.6097,0.0,0,0,1,0.0,0.6675,0,0.7237,1,0.65,0.5885,IDFCFIRSTB.NS,1,1,0,1,0,0
Z0043,2025-02-20,2.0,win,supply,DBD,0.998,3,0.8154,37.6256,0.9248,0.8868,1.4667,1.18,4,0.295,0.8996,1.0069,3,0.3356,1.1823,1.0,0.89196550553979,0.8662,0.3649,0,0,0,1.6233,0.711,0,0.2643,0,0.85,0.8695,INFY.NS,1,0,1,0,0,0
